,i,j,Z,match,gamma
53,2,13,6,False,[0 1 0 0]
54,2,14,6,False,[1 0 0 0]
55,2,15,6,False,[0 0 0 1]
56,2,16,6,False,[1 0 0 0]
57,2,17,6,False,[0 0 0 0]
58,2,18,6,False,[0 0 0 0]
59,2,19,6,False,[0 0 0 0]
60,3,0,17,False,[1 1 1 0]
61,3,1,17,False,[0 0 0 0]
62,3,2,17,False,[0 0 1 0]
63,3,3,17,False,[0 0 0 0]
64,3,4,17,False,[0 1 1 0]
65,3,5,17,False,[1 0 0 0]
66,3,6,17,False,[0 0 0 0]
67,3,7,17,False,[0 0 0 0]
68,3,8,17,False,[0 0 0 0]
69,3,9,17,False,[0 0 0 1]
70,3,10,17,False,[1 1 0 0]
71,3,11,17,False,[1 0 0 0]
72,3,12,17,False,[0 0 0 0]
73,3,13,17,False,[1 0 0 0]
74,3,14,17,False,[1 1 0 0]
75,3,15,17,False,[0 0 0 0]
76,3,16,17,False,[0 1 1 0]
77,3,17,17,True,[1 1 1 1]
78,3,18,17,False,[0 0 0 0]
79,3,19,17,False,[0 1 0 1]
80,4,0,24,False,[0 0 0 0]
81,4,1,24,False,[0 1 0 0]
82,4,2,24,False,[0 0 1 0]
83,4,3,24,False,[0 0 0 1]
84,4,4,24,False,[1 1 0 0]
85,4,5,24,False,[1 0 0 0]
86,4,6,24,False,[1 0 0 0]
87,4,7,24,False,[1 1 0 1]
88,4,8,24,False,[0 0 0 0]
89,4,9,24,False,[0 1 0 0]
90,4,10,24,False,[0 0 0 0]
91,4,11,24,False,[0 0 0 1]
92,4,12,24,False,[1 1 0 0]
93,4,13,24,False,[0 0 0 0]
94,4,14,24,False,[1 0 0 0]
95,4,15,24,False,[0 0 0 0]
96,4,16,24,False,[0 0 0 0]
97,4,17,24,False,[0 0 0 1]
98,4,18,24,False,[0 0 0 0]
99,4,19,24,False,[0 0 0 1]
100,5,0,19,False,[0 0 0 0]
101,5,1,19,False,[0 0 0 1]
102,5,2,19,False,[1 0 0 0]
103,5,3,19,False,[1 0 0 0]
104,5,4,19,False,[0 0 0 0]
105,5,5,19,False,[1 0 0 0]
106,5,6,19,False,[0 0 0 0]
107,5,7,19,False,[0 0 0 0]
108,5,8,19,False,[0 0 1 0]
109,5,9,19,False,[0 1 0 0]
110,5,10,19,False,[1 0 0 0]
111,5,11,19,False,[0 0 0 0]
112,5,12,19,False,[1 1 0 0]
113,5,13,19,False,[0 0 1 0]
114,5,14,19,False,[0 0 0 0]
115,5,15,19,False,[0 0 0 0]
116,5,16,19,False,[0 0 0 0]
117,5,17,19,False,[0 0 1 0]
118,5,18,19,False,[0 0 1 0]
119,5,19,19,True,[1 1 1 1]
120,6,0,18,False,[0 0 1 1]
121,6,1,18,False,[0 0 0 1]
122,6,2,18,False,[0 0 0 0]
123,6,3,18,False,[1 0 0 0]
124,6,4,18,False,[0 0 1 0]
125,6,5,18,False,[0 0 0 0]
126,6,6,18,False,[0 0 0 0]
127,6,7,18,False,[0 0 0 0]
128,6,8,18,False,[1 0 0 1]
129,6,9,18,False,[1 0 1 0]
130,6,10,18,False,[0 0 0 0]
131,6,11,18,False,[0 0 0 1]
132,6,12,18,False,[0 1 0 0]
133,6,13,18,False,[0 1 1 0]
134,6,14,18,False,[0 1 0 0]
135,6,15,18,False,[0 0 1 0]
136,6,16,18,False,[0 0 1 0]
137,6,17,18,False,[0 0 0 0]
138,6,18,18,True,[0 1 1 1]
139,6,19,18,False,[0 0 0 0]
140,7,0,11,False,[0 0 0 0]
141,7,1,11,False,[0 0 0 1]
142,7,2,11,False,[0 0 0 0]
143,7,3,11,False,[0 0 0 0]
144,7,4,11,False,[0 0 1 0]
145,7,5,11,False,[0 0 0 1]
146,7,6,11,False,[0 1 0 1]
147,7,7,11,False,[0 0 0 0]
148,7,8,11,False,[1 0 0 0]
149,7,9,11,False,[0 0 0 0]
150,7,10,11,False,[0 0 1 0]
151,7,11,11,True,[1 1 1 1]
152,7,12,11,False,[1 0 1 0]
153,7,13,11,False,[1 0 0 0]
154,7,14,11,False,[0 1 0 0]
155,7,15,11,False,[1 1 0 0]
156,7,16,11,False,[0 0 1 0]
157,7,17,11,False,[0 0 1 0]
158,7,18,11,False,[1 0 0 0]
159,7,19,11,False,[0 0 0 0]
160,8,0,9,False,[0 0 0 0]
161,8,1,9,False,[0 1 0 0]
162,8,2,9,False,[0 0 0 1]
163,8,3,9,False,[1 0 0 0]
164,8,4,9,False,[0 0 0 0]
165,8,5,9,False,[0 1 0 0]
166,8,6,9,False,[0 0 0 1]
167,8,7,9,False,[1 0 0 0]
168,8,8,9,False,[1 0 1 0]
169,8,9,9,True,[1 1 1 1]
170,8,10,9,False,[0 0 0 0]
171,8,11,9,False,[0 0 0 0]
172,8,12,9,False,[1 1 0 0]
173,8,13,9,False,[0 0 0 0]
174,8,14,9,False,[1 1 0 0]
175,8,15,9,False,[1 0 0 0]
176,8,16,9,False,[0 0 0 0]
177,8,17,9,False,[1 1 0 0]
178,8,18,9,False,[1 0 0 1]
179,8,19,9,False,[0 0 0 0]
180,9,0,29,False,[0 1 0 1]
181,9,1,29,False,[0 0 0 0]
182,9,2,29,False,[0 1 0 0]
183,9,3,29,False,[1 0 0 0]
184,9,4,29,False,[0 0 1 0]
185,9,5,29,False,[0 1 0 0]
186,9,6,29,False,[0 0 0 0]
187,9,7,29,False,[1 0 0 1]
188,9,8,29,False,[0 0 0 0]
189,9,9,29,False,[0 0 0 0]
190,9,10,29,False,[1 1 0 1]
191,9,11,29,False,[0 0 0 0]
192,9,12,29,False,[0 0 0 0]
193,9,13,29,False,[0 0 0 0]
194,9,14,29,False,[0 0 0 0]
195,9,15,29,False,[1 0 0 0]
196,9,16,29,False,[0 0 0 0]
197,9,17,29,False,[0 0 0 1]
198,9,18,29,False,[0 0 0 1]
199,9,19,29,False,[0 0 0 0]
200,10,0,30,False,[0 0 0 0]
201,10,1,30,False,[0 0 0 0]
202,10,2,30,False,[0 0 0 0]
203,10,3,30,False,[0 0 0 1]
204,10,4,30,False,[1 0 0 0]
205,10,5,30,False,[0 0 0 1]
206,10,6,30,False,[0 0 0 1]
207,10,7,30,False,[0 0 0 0]
208,10,8,30,False,[0 0 0 1]
209,10,9,30,False,[0 0 0 1]
210,10,10,30,False,[1 0 0 0]
211,10,11,30,False,[0 1 0 0]
212,10,12,30,False,[0 0 1 0]
213,10,13,30,False,[0 0 1 0]
214,10,14,30,False,[0 0 1 0]
215,10,15,30,False,[0 0 0 0]
216,10,16,30,False,[0 0 0 0]
217,10,17,30,False,[0 1 0 0]
218,10,18,30,False,[0 0 0 0]
219,10,19,30,False,[1 0 0 0]
220,11,0,31,False,[0 0 0 0]
221,11,1,31,False,[0 0 0 0]
222,11,2,31,False,[0 0 0 0]
223,11,3,31,False,[0 0 0 1]
224,11,4,31,False,[0 0 0 0]
225,11,5,31,False,[1 0 0 1]
226,11,6,31,False,[0 0 0 0]
227,11,7,31,False,[0 1 1 0]
228,11,8,31,False,[0 0 1 1]
229,11,9,31,False,[1 0 0 1]
230,11,10,31,False,[0 0 0 0]
231,11,11,31,False,[1 0 0 0]
232,11,12,31,False,[0 0 1 0]
233,11,13,31,False,[0 0 0 0]
234,11,14,31,False,[0 0 0 0]
235,11,15,31,False,[0 1 1 0]
236,11,16,31,False,[0 0 0 0]
237,11,17,31,False,[0 0 0 0]
238,11,18,31,False,[0 1 0 0]
239,11,19,31,False,[0 0 0 0]
240,12,0,32,False,[0 0 0 0]
241,12,1,32,False,[0 0 0 0]
242,12,2,32,False,[0 0 1 1]
243,12,3,32,False,[0 0 1 0]
244,12,4,32,False,[1 0 0 0]
245,12,5,32,False,[0 0 1 1]
246,12,6,32,False,[1 1 1 0]
247,12,7,32,False,[0 0 0 0]
248,12,8,32,False,[1 0 1 0]
249,12,9,32,False,[0 0 1 0]
250,12,10,32,False,[0 0 0 0]
251,12,11,32,False,[0 0 0 0]
252,12,12,32,False,[1 0 1 1]
253,12,13,32,False,[0 0 0 0]
254,12,14,32,False,[0 0 0 0]
255,12,15,32,False,[0 0 0 0]
256,12,16,32,False,[1 0 0 1]
257,12,17,32,False,[0 0 0 0]
258,12,18,32,False,[0 0 0 0]
259,12,19,32,False,[0 0 0 0]
260,13,0,33,False,[0 0 0 0]
261,13,1,33,False,[0 0 0 1]
262,13,2,33,False,[1 1 1 0]
263,13,3,33,False,[0 0 1 0]
264,13,4,33,False,[0 0 0 0]
265,13,5,33,False,[0 0 1 1]
266,13,6,33,False,[1 0 0 0]
267,13,7,33,False,[0 0 0 0]
268,13,8,33,False,[1 0 0 0]
269,13,9,33,False,[0 0 0 0]
270,13,10,33,False,[0 1 1 0]
271,13,11,33,False,[0 0 0 0]
272,13,12,33,False,[1 0 0 0]
273,13,13,33,False,[0 0 0 0]
274,13,14,33,False,[1 1 0 0]
275,13,15,33,False,[0 0 0 0]
276,13,16,33,False,[1 0 0 0]
277,13,17,33,False,[0 0 0 0]
278,13,18,33,False,[0 0 0 0]
279,13,19,33,False,[0 0 0 0]
280,14,0,0,True,[1 1 1 1]
281,14,1,0,False,[0 0 1 1]
282,14,2,0,False,[0 1 0 1]
283,14,3,0,False,[0 0 0 0]
284,14,4,0,False,[1 1 0 0]
285,14,5,0,False,[0 0 0 1]
286,14,6,0,False,[0 0 1 1]
287,14,7,0,False,[0 0 1 0]
288,14,8,0,False,[0 0 0 0]
289,14,9,0,False,[0 0 1 0]
290,14,10,0,False,[0 0 0 0]
291,14,11,0,False,[1 0 0 1]
292,14,12,0,False,[1 0 0 1]
293,14,13,0,False,[0 0 0 0]
294,14,14,0,False,[1 0 0 0]
295,14,15,0,False,[0 0 1 1]
296,14,16,0,False,[0 0 0 0]
297,14,17,0,False,[1 0 0 1]
298,14,18,0,False,[0 0 0 1]
299,14,19,0,False,[0 0 1 1]
300,15,0,35,False,[0 0 1 0]
301,15,1,35,False,[1 1 0 0]
302,15,2,35,False,[0 0 0 0]
303,15,3,35,False,[0 0 0 0]
304,15,4,35,False,[0 0 1 1]
305,15,5,35,False,[1 0 0 0]
306,15,6,35,False,[0 1 0 0]
307,15,7,35,False,[1 0 0 1]
308,15,8,35,False,[0 0 0 0]
309,15,9,35,False,[0 0 0 0]
310,15,10,35,False,[0 0 0 0]
311,15,11,35,False,[0 0 0 0]
312,15,12,35,False,[0 0 0 0]
313,15,13,35,False,[0 0 0 0]
314,15,14,35,False,[0 0 0 0]
315,15,15,35,False,[1 0 0 1]
316,15,16,35,False,[1 0 0 0]
317,15,17,35,False,[1 0 1 1]
318,15,18,35,False,[0 0 0 0]
319,15,19,35,False,[0 0 0 0]
320,16,0,36,False,[0 1 0 1]
321,16,1,36,False,[0 1 0 1]
322,16,2,36,False,[1 0 1 1]
323,16,3,36,False,[0 0 1 0]
324,16,4,36,False,[0 0 0 0]
325,16,5,36,False,[0 1 0 1]
326,16,6,36,False,[0 0 0 0]
327,16,7,36,False,[0 0 0 0]
328,16,8,36,False,[0 0 0 0]
329,16,9,36,False,[0 0 1 0]
330,16,10,36,False,[0 0 1 0]
331,16,11,36,False,[1 0 0 0]
332,16,12,36,False,[1 1 1 0]
333,16,13,36,False,[0 0 1 0]
334,16,14,36,False,[0 1 0 0]
335,16,15,36,False,[0 0 0 0]
336,16,16,36,False,[0 0 0 0]
337,16,17,36,False,[1 0 0 1]
338,16,18,36,False,[0 1 0 0]
339,16,19,36,False,[0 1 1 0]
340,17,0,37,False,[0 0 0 0]
341,17,1,37,False,[0 0 0 0]
342,17,2,37,False,[0 0 0 0]
343,17,3,37,False,[0 1 0 0]
344,17,4,37,False,[0 0 0 0]
345,17,5,37,False,[0 0 0 1]
346,17,6,37,False,[0 0 0 1]
347,17,7,37,False,[1 0 0 0]
348,17,8,37,False,[1 1 0 0]
349,17,9,37,False,[0 0 1 1]
350,17,10,37,False,[0 1 0 0]
351,17,11,37,False,[0 1 0 0]
352,17,12,37,False,[0 1 0 0]
353,17,13,37,False,[0 0 0 0]
354,17,14,37,False,[0 1 0 0]
355,17,15,37,False,[0 0 0 0]
356,17,16,37,False,[0 0 0 1]
357,17,17,37,False,[0 0 1 1]
358,17,18,37,False,[0 1 0 0]
359,17,19,37,False,[0 1 0 1]
360,18,0,3,False,[0 0 1 1]
361,18,1,3,False,[0 0 0 1]
362,18,2,3,False,[0 0 0 0]
363,18,3,3,True,[1 0 0 1]
364,18,4,3,False,[0 0 0 1]
365,18,5,3,False,[0 0 1 0]
366,18,6,3,False,[0 0 1 0]
367,18,7,3,False,[0 0 1 0]
368,18,8,3,False,[0 0 0 0]
369,18,9,3,False,[0 0 0 0]
370,18,10,3,False,[0 0 0 0]
371,18,11,3,False,[0 1 0 1]
372,18,12,3,False,[0 0 0 0]
373,18,13,3,False,[0 0 0 0]
374,18,14,3,False,[0 0 1 1]
375,18,15,3,False,[0 0 0 0]
376,18,16,3,False,[0 0 0 0]
377,18,17,3,False,[0 1 0 0]
378,18,18,3,False,[0 0 0 0]
379,18,19,3,False,[0 0 0 1]
380,19,0,39,False,[0 0 0 0]
381,19,1,39,False,[0 0 0 0]
382,19,2,39,False,[1 0 1 1]
383,19,3,39,False,[0 0 0 0]
384,19,4,39,False,[0 0 0 0]
385,19,5,39,False,[0 1 1 0]
386,19,6,39,False,[0 1 0 0]
387,19,7,39,False,[0 0 0 0]
388,19,8,39,False,[0 0 0 0]
389,19,9,39,False,[0 1 0 0]
390,19,10,39,False,[0 0 0 0]
391,19,11,39,False,[1 1 1 0]
392,19,12,39,False,[0 0 0 0]
393,19,13,39,False,[0 0 0 0]
394,19,14,39,False,[0 1 0 0]
395,19,15,39,False,[0 0 0 1]
396,19,16,39,False,[0 0 0 1]
397,19,17,39,False,[0 0 0 0]
398,19,18,39,False,[0 0 0 0]
399,19,19,39,False,[0 1 0 0]
